frame_number,timestamp,right_hip_velocity,right_knee_velocity,right_ankle_velocity,right_shoulder_velocity,right_elbow_velocity,right_wrist_velocity,right_index_velocity,nose_velocity,left_shoulder_velocity,left_hip_velocity
0,0.0,312.1297807002722,300.3747659175118,30.0,816.7772034037189,300.0,300.0,465.2418725781247,61.84658438426491,138.2931668593933,275.3633962602873
5,0.16666666666666666,726.7386196624457,321.90509455097225,51.622776601683796,777.7562113962913,352.9705854077836,380.0,663.7146389786902,82.46211251235322,999.1684320427875,747.9336398877567
10,0.3333333333333333,1011.1678727290035,532.1430549672586,146.49110640673518,899.8217675536283,576.5773831577626,557.2004514666935,844.8223417414387,174.65755708528206,1331.5838348146806,1027.9336398877567
15,0.5,963.3935476809693,422.447062403625,126.49110640673518,463.4701702150687,434.88690210621553,483.6915578734286,677.8393039887857,197.45774320343398,1494.339365921391,915.0687204995533
20,0.6666666666666666,474.7414484853718,386.8150644680868,114.86832980505137,358.2945791699137,392.3699268703046,405.6719481452844,406.74802590786516,166.22668694725735,720.7830190927958,370.7106781186547
25,0.8333333333333334,200.31219541881399,234.88662300025348,30.0,350.24656552249047,285.8101282275219,306.5739934376574,282.20886564004053,94.03124237432849,455.44965564589637,113.07135789365266
30,1.0,76.05551275463989,189.05413116887507,40.0,312.08002725857074,312.9406467322442,230.08288703092225,199.85828031025918,52.3606797749979,300.49867996625704,93.35087491092575
35,1.1666666666666667,97.04570789056773,167.06212087277729,30.0,248.04878488424228,280.5895333194381,220.2979413319954,234.015205694812,64.7213595499958,198.7048159266775,134.17850021390794
40,1.3333333333333333,177.04570789056774,165.3211444192481,30.0,175.26229863050511,262.0311122302029,263.02590430887454,280.4029646097582,95.71155468592364,182.61297173761167,204.0132650118389
45,1.5,210.99019513592785,160.5997848692523,40.0,141.31781138514498,298.2463253829919,358.628102094485,368.2360267799611,127.20252298227079,127.33433128760744,223.7337479945658
50,1.6666666666666667,180.0,132.6240552495637,30.0,99.6472487858144,350.52787672797837,476.6706179378425,463.51318988722596,199.71017301232428,149.56320275726867,204.13717894776025
55,1.8333333333333333,112.3606797749979,98.41619252963778,34.14213562373095,72.55832815336875,352.5380549212262,485.8401582018967,484.2500572458857,209.5476031793786,120.93368739633873,121.94173437483136
60,2.0,72.3606797749979,122.44743490396627,24.14213562373095,127.05666678010304,350.88280431526186,581.8988798881778,646.0728636979012,216.52358041101573,98.57300762134084,82.8538328578604
65,2.1666666666666665,83.9834563766817,100.53405777305734,68.86349517372675,205.194743216314,431.4489873084988,654.5036319465104,787.730053287004,182.48287590894657,58.863495173726754,77.67828935632369
70,2.3333333333333335,75.76491222541475,108.17337799805944,184.7213595499958,311.4685533805061,507.8682912268312,844.5036319465104,1054.5493683138068,232.10886077783698,107.21349351738361,99.30106595800748
75,2.5,68.12559200041265,75.76491222541475,203.0056307974577,230.91470199913184,660.9982969017846,992.9708965372423,1128.7735556220332,261.835086856229,256.0252414286226,87.67828935632367
80,2.6666666666666665,86.50281539872886,75.76491222541475,214.8528137423857,336.328548607663,918.2360622332795,1270.9311797750213,1433.855117031764,371.00746155324686,355.9006483148055,101.62277660168381
85,2.8333333333333335,202.74472787905088,77.38768882709854,94.8528137423857,396.1901665929395,1003.806097071872,1291.0782068089202,1415.364137991197,449.23347402250624,476.2397019415787,130.82762530298217
90,3.0,351.26412301040364,123.86740898448129,94.8528137423857,619.6425171915145,1141.1636064323945,1285.657703979724,1382.9347558339407,547.359245282264,583.9937878749688,280.8276253029822
95,3.1666666666666665,512.2143541076935,326.0583498885897,124.30752391788816,682.0580716717492,1115.8074065133003,1124.4795323210876,1074.2998038309363,554.5596967489577,695.5865288186246,511.5410022553462
100,3.3333333333333335,601.8303060036405,502.52209375375406,226.11092279287766,717.6508393477789,1213.4581736525486,1097.382022137159,1021.3394217470471,576.8303052051155,695.5865288186246,710.713376952364
105,3.5,640.9502310972899,652.4546820145151,342.04870256397527,735.9920549894873,1174.1848824824845,1095.4275250838252,1017.9163935211245,611.7574803139623,669.8397932224408,742.9508611139308
110,3.6666666666666665,660.2172886644267,648.7245217413688,376.441395681472,812.4826906808457,1081.3530859727937,1050.4856580494272,1057.0179226879989,694.7492654724227,883.5471624986473,610.8981716347519
115,3.8333333333333335,595.459035627027,570.6380012745207,344.63799680648253,769.2391242479375,1122.3376462680433,1127.56432526208,1089.2401614221285,578.6673641801841,852.4974307532192,594.2086728466807
120,4.0,493.1623317697171,509.0360860256255,314.43348829783673,656.7294407794952,1020.3816627593568,1090.0646711146285,1095.4905086631743,495.4172549063871,871.3470629044847,515.6643574536437
125,4.166666666666667,323.7726684082725,424.4956545195894,337.19575314267735,384.71174668096705,966.5235206585736,1108.744808147154,1084.938844111254,289.0766663525784,696.0369858235905,430.2492231838262
130,4.333333333333333,258.5309214456723,376.95776703194264,337.81833062566284,319.78827780733644,675.8537084278148,922.5774046282422,1027.764306103303,311.2553356547233,694.1508688320096,287.4374781831063
135,4.5,221.53830342163693,260.5245972610102,313.80078811574907,258.60689179456176,681.1860724260092,975.8210514990263,1172.7586780140082,241.60932529719605,482.9490839602829,224.57193471755866
140,4.666666666666667,310.71067811865476,221.9048316123448,280.6225774829855,256.51647102041136,735.6151773859543,1024.476914367321,1190.4410685222333,278.31152860722517,388.94150831140115,291.3263815141911
145,4.833333333333333,340.71067811865476,221.9048316123448,280.6225774829855,253.21623996682683,900.2978970580338,1103.5355677853074,1271.6987327076477,253.4599740729578,329.82257466909886,310.8276253029822
150,5.0,380.0,291.9048316123448,266.7803085416246,206.73651980944408,929.8454192180252,1001.1802487810988,1217.1321309045577,303.165241742226,402.41159000737997,361.80339887498945
155,5.166666666666667,345.0,303.6931687685298,235.17046281243688,204.03876253618398,868.9116845382946,868.7419377913726,1231.3498136720677,318.91708554127774,348.61738501107,347.7050983124842
